municipality,county,base_url,data_tier,verification_status,attempt_count,first_seen_utc,final_url,homepage_status,feasibility,classification_confidence,cadence,rate_limit_policy,retry_policy,vendime_url,vendime_confidence,prokurime_url,prokurime_confidence,konsultime_url,konsultime_confidence,robots_respected,crawl_notes,last_checked_utc,last_seen_utc,last_error_type,cooldown_until_utc,hour_buckets_seen
Berat,Berat,https://bashkiaberat.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,https://bashkiaberat.gov.al/,OK,A,0.85,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://bashkiaberat.gov.al/projektvendimet/,0.9,,0.2,https://bashkiaberat.gov.al/konsultime-publike/,0.9,UNKNOWN,Vendime menu also links to vendime.al (external; out of MVP).,2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
Kuçovë,Berat,https://bashkiakucove.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,https://bashkiakucove.gov.al/,OK,B,0.65,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,0.3,,0.3,,0.3,UNKNOWN,Homepage loaded but category links not found via simple keyword scan; needs deeper discovery (menu/sitemap/transparenca).,2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
Poliçan,Berat,https://www.polican.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,,INTERNAL_ERROR,TBD,0.2,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,Tool could not fetch (internal error). | NOTE: transient error; keep feasibility TBD and re-check 2–3 times across different hours before classifying.,2026-02-11T00:08:07Z,,INTERNAL_ERROR,,2026-02-11T00
Skrapar,Berat,https://bashkiaskrapar.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,https://bashkiaskrapar.gov.al/,OK,A,0.85,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://bashkiaskrapar.gov.al/category/keshilli/vendimet-e-keshillit-bashkiak/,0.9,https://bashkiaskrapar.gov.al/prokurime/,0.8,https://bashkiaskrapar.gov.al/2020/07/02/njoftim-per-konsultim-me-publikun/,0.6,UNKNOWN,"Site has clear council decision archives + procurement page; 'konsultime' currently represented by posts/pages, not a dedicated listing.",2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
Dimal (Ura Vajgurore),Berat,https://bashkiadimal.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,https://bashkiadimal.gov.al/,OK,B,0.65,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,0.5,,,,,UNKNOWN,Site loads; 'Vendime' appear as many links but often point to external hosts (uravajgurore.gov.al/OneDrive/Dropbox). Needs pinning of canonical listing pages.,2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
Bulqizë,Dibër,https://bulqiza.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,https://bulqiza.gov.al/,OK,A,0.85,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",https://bulqiza.gov.al/projekt-vendime/,0.7,https://bulqiza.gov.al/regjistri-i-realizimeve-te-procedurave-te-prokurimit-publik/,0.8,https://bulqiza.gov.al/category/konsultime-publike/,0.9,UNKNOWN,"Council 'Vendimet e Keshillit' links to vendime.al (external), but has 'Projekt-Vendime' internally.",2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
Dibër,Dibër,https://dibra.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,,INTERNAL_ERROR,TBD,0.2,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,Tool could not fetch (internal error). | NOTE: transient error; keep feasibility TBD and re-check 2–3 times across different hours before classifying.,2026-02-11T00:08:07Z,,INTERNAL_ERROR,,2026-02-11T00
Klos,Dibër,https://bashkiaklos.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,https://bashkiaklos.gov.al/,BOT_CHALLENGE,TBD,0.3,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,"Returns 'One moment, please…' (bot protection). Manual workflow for MVP; weekly re-check. | NOTE: BOT_CHALLENGE/403 detected; re-check 2–3 times across different hours before classifying as C.",2026-02-11T00:08:07Z,,BOT_CHALLENGE,,2026-02-11T00
Mat,Dibër,https://bashkiamat.gov.al/,TBD,CHECKED,1,2026-02-11T00:08:07Z,,INTERNAL_ERROR,TBD,0.2,24h,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,,,,,,UNKNOWN,Tool could not fetch (internal error). | NOTE: transient error; keep feasibility TBD and re-check 2–3 times across different hours before classifying.,2026-02-11T00:08:07Z,,INTERNAL_ERROR,,2026-02-11T00
Durrës,Durrës,https://durres.gov.al/,Tier 1,CHECKED,1,2026-02-11T00:08:07Z,https://durres.gov.al/,OK,A,0.85,30m,1 req / 5–10s per host,"exp backoff+jitter, max_attempts=4, cap=120s; honor Retry-After",,0.4,https://durres.gov.al/2017/03/31/informacion-mbi-prokurimet-ne-bashkine-durres/,0.8,https://durres.gov.al/njoftimi-dhe-konsultimi-publik/,0.9,UNKNOWN,Procurement info page + consultation page found from menu; no single 'Vendime' listing pinned yet (appears in council/news content).,2026-02-11T00:08:07Z,2026-02-11T00:08:07Z,NONE,,2026-02-11T00
